group,replicate,fastq_1,fastq_2
2cell,1,fastq/SRR7958167.fastq.gz,
2cell,2,fastq/SRR7958166.fastq.gz,
zygote,1,fastq/SRR7958165.fastq.gz,
zygote,2,fastq/SRR7958164.fastq.gz,
4cell,1,fastq/SRR7958183.fastq.gz,
4cell,2,fastq/SRR7958184.fastq.gz,
8cell,1,fastq/SRR7958185.fastq.gz,
8cell,2,fastq/SRR7958186.fastq.gz,
ICM,1,fastq/SRR7958181.fastq.gz,
ICM,2,fastq/SRR7958182.fastq.gz,
Morula,1,fastq/SRR7958179.fastq.gz,
Morula,2,fastq/SRR7958180.fastq.gz,
Oocyte,1,fastq/SRR7958163.fastq.gz,
Oocyte,2,fastq/SRR7958162.fastq.gz,
Sperm,1,fastq/SRR7958161.fastq.gz,
Sperm,2,fastq/SRR7958160.fastq.gz,
TE,1,fastq/SRR7958191.fastq.gz,
TE,2,fastq/SRR7958192.fastq.gz,
Differentiated_cells_ATAC,1,fastq/SRR7958147.fastq.gz,
Differentiated_cells_ATAC,2,fastq/SRR7958146.fastq.gz,
Differentiated_cells_LiCAT,1,fastq/SRR7958151.fastq.gz,
Differentiated_cells_LiCAT,2,fastq/SRR7958150.fastq.gz,
hESCs_ATAC,1,fastq/SRR7958149.fastq.gz,
hESCs_ATAC,2,fastq/SRR7958148.fastq.gz,
hESCs_LiCAT,1,fastq/SRR7958153.fastq.gz,
hESCs_LiCAT,2,fastq/SRR7958152.fastq.gz,
