sample_accession	run_accession	sample_alias	sample_title
SAMN03387032	SRR1825955	GSM1624222	TE8.4
SAMN03387049	SRR1825956	GSM1624223	TE3.5
SAMN03387038	SRR1825957	GSM1624224	TE3.1
SAMN03387048	SRR1825958	GSM1624225	TE3.3
SAMN03387039	SRR1825959	GSM1624226	TE3.2
SAMN03387047	SRR1825960	GSM1624227	TE3.4
SAMN03387041	SRR1825961	GSM1624228	EPI3.1
SAMN03387040	SRR1825962	GSM1624229	TE8.7
SAMN03387042	SRR1825963	GSM1624230	TE8.1
SAMN03387043	SRR1825964	GSM1624231	TE8.6
SAMN03387050	SRR1825965	GSM1624232	PE8.1
SAMN03387046	SRR1825966	GSM1624233	TE8.5
SAMN03387051	SRR1825967	GSM1624234	TE8.8
SAMN03387044	SRR1825968	GSM1624235	TE8.3
SAMN03387045	SRR1825969	GSM1624236	TE8.2
SAMN03387052	SRR1825970	GSM1624237	TE9.1
SAMN04028907	SRR2240578	GSM1868810	PE4.1
SAMN04028907	SRR2240579	GSM1868810	PE4.1
SAMN04028907	SRR2240580	GSM1868810	PE4.1
SAMN04028907	SRR2240581	GSM1868810	PE4.1
SAMN04028907	SRR2240582	GSM1868810	PE4.1
SAMN04028907	SRR2240583	GSM1868810	PE4.1
SAMN04028908	SRR2240584	GSM1868811	PE5.1
SAMN04028908	SRR2240585	GSM1868811	PE5.1
SAMN04028908	SRR2240586	GSM1868811	PE5.1
SAMN04028908	SRR2240587	GSM1868811	PE5.1
SAMN04028908	SRR2240588	GSM1868811	PE5.1
SAMN04028909	SRR2240589	GSM1868812	PE5.2
SAMN04028909	SRR2240590	GSM1868812	PE5.2
SAMN04028909	SRR2240591	GSM1868812	PE5.2
SAMN04028909	SRR2240592	GSM1868812	PE5.2
SAMN04028909	SRR2240593	GSM1868812	PE5.2
SAMN04028910	SRR2240594	GSM1868813	PE5.3
SAMN04028910	SRR2240595	GSM1868813	PE5.3
SAMN04028910	SRR2240596	GSM1868813	PE5.3
SAMN04028910	SRR2240597	GSM1868813	PE5.3
SAMN04028910	SRR2240598	GSM1868813	PE5.3
SAMN04028911	SRR2240599	GSM1868814	PE5.4
SAMN04028911	SRR2240600	GSM1868814	PE5.4
SAMN04028911	SRR2240601	GSM1868814	PE5.4
SAMN04028911	SRR2240602	GSM1868814	PE5.4
SAMN04028911	SRR2240603	GSM1868814	PE5.4
SAMN04028912	SRR2240604	GSM1868815	TE3.6
SAMN04028912	SRR2240605	GSM1868815	TE3.6
SAMN04028912	SRR2240606	GSM1868815	TE3.6
SAMN04028912	SRR2240607	GSM1868815	TE3.6
SAMN04028912	SRR2240608	GSM1868815	TE3.6
SAMN04028913	SRR2240609	GSM1868816	TE4.1
SAMN04028913	SRR2240610	GSM1868816	TE4.1
SAMN04028913	SRR2240611	GSM1868816	TE4.1
SAMN04028913	SRR2240612	GSM1868816	TE4.1
SAMN04028914	SRR2240613	GSM1868817	EPI2.1
SAMN04028914	SRR2240614	GSM1868817	EPI2.1
SAMN04028914	SRR2240615	GSM1868817	EPI2.1
SAMN04028914	SRR2240616	GSM1868817	EPI2.1
SAMN04028914	SRR2240617	GSM1868817	EPI2.1
SAMN04028915	SRR2240618	GSM1868818	EPI4.1
SAMN04028915	SRR2240619	GSM1868818	EPI4.1
SAMN04028915	SRR2240620	GSM1868818	EPI4.1
SAMN04028915	SRR2240621	GSM1868818	EPI4.1
SAMN04028915	SRR2240622	GSM1868818	EPI4.1
SAMN04028915	SRR2240623	GSM1868818	EPI4.1
SAMN04028916	SRR2240624	GSM1868819	EPI5.1
SAMN04028916	SRR2240625	GSM1868819	EPI5.1
SAMN04028916	SRR2240626	GSM1868819	EPI5.1
SAMN04028917	SRR2240627	GSM1868820	EPI4.2
SAMN04028917	SRR2240628	GSM1868820	EPI4.2
SAMN04028917	SRR2240629	GSM1868820	EPI4.2
SAMN04028917	SRR2240630	GSM1868820	EPI4.2
SAMN04028917	SRR2240631	GSM1868820	EPI4.2
SAMN04028917	SRR2240632	GSM1868820	EPI4.2
SAMN04028918	SRR2240633	GSM1868821	EPI6.1
SAMN04028918	SRR2240634	GSM1868821	EPI6.1
SAMN04028918	SRR2240635	GSM1868821	EPI6.1
SAMN04028918	SRR2240636	GSM1868821	EPI6.1
SAMN04028918	SRR2240637	GSM1868821	EPI6.1
SAMN04028919	SRR2240638	GSM1868822	EPI5.2
SAMN04028919	SRR2240639	GSM1868822	EPI5.2
SAMN04028919	SRR2240640	GSM1868822	EPI5.2
SAMN04028919	SRR2240641	GSM1868822	EPI5.2
SAMN04028919	SRR2240642	GSM1868822	EPI5.2
SAMN04028920	SRR2240643	GSM1868823	EPI4.3
SAMN04028920	SRR2240644	GSM1868823	EPI4.3
SAMN04028920	SRR2240645	GSM1868823	EPI4.3
SAMN04028920	SRR2240646	GSM1868823	EPI4.3
SAMN04028920	SRR2240647	GSM1868823	EPI4.3
